file,run_order,solvent_type
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_IPA_05.mzML,42,IPA
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_IPA_06.mzML,43,IPA
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_IPA_07.mzML,44,IPA
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_IPA_08.mzML,45,IPA
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_water_01.mzML,6,water
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_water_02.mzML,7,water
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_water_03.mzML,8,water
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_water_04.mzML,9,water
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_water_05.mzML,10,water
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_water_06.mzML,11,water
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_water_07.mzML,12,water
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_water_08.mzML,13,water
